Question_en,Answer_en
Is it possible to edit major categories after registering a product?,"It is not possible to change to a major category other than the category in which the product was registered. ! caution. Category modification itself is not possible for 'products set by searching the catalog' and 'Naver Shopping price comparison products'. If you need to modify a large category, you must click ‘Copy’ in the [Product Management > Product Inquiry/Edit] menu, register a new product, and delete the previously registered product. ※ Note. In this case, data such as reviews and Q&A registered for existing products will not be reflected. Items that cannot be modified after product registration · Cannot be modified once the catalog has been matched · Cannot be modified after the sales price is registered as less than 10 won (Currently, registration of at least 10 won is possible) · Category (if set by searching the catalog) · Naver Shopping If you are registered as a price comparison product · If you want to change to a major category other than the one you registered · If you want to change from a category with restricted payment methods to a general category · If the category you want to change requires registration authority


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"When downloading Excel from the product list, the file does not open properly (corruption phenomenon).","File corruption when downloading Excel occurs when the OS is not the Korean version. Click 'Data-Text' in the downloaded (broken) Excel file and reopen the downloaded file. Immediately click Next (original Default is set to File_Unicode) > Separator: untab, check comma > Next > If you press Next, it will come out normally.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
The catalog cannot be modified after product registration.,"You can register a catalog (old model name) in the main product information, and when registering a catalog, actual matching is completed through inspection by an internal operator rather than immediate matching for price comparison. If the catalog is matched through inspection by an internal operator, the catalog cannot be modified and can only be viewed. (Brand, manufacturer, and product attributes can be modified) If there is no catalog that has been matched, and there is only a catalog that the seller entered directly or registered through 'Search Catalog', it can be modified. Also, if the matched catalog is unmatched, it can be modified. do. You can check whether or not catalog matching has been completed by clicking Product Edit in the Product View/Edit menu, and you can also check the catalog information for which the actual matching has been completed. If you need to modify the catalog after catalog matching is complete, click 'Copy' in the [Product Management > Product Inquiry/Edit] menu, then register a new product and delete the previously registered product. However, even if you register a new product, it will be subject to internal inspection. Please note that matching may be completed with the same existing catalog. ※ Note. · If matching is completed with a catalog that does not fit the product, please contact Naver Shopping Customer Center. · The catalog that has been actually matched through inspection may be different from the catalog registered by the seller, and even if the catalog is registered, it may not be actually matched depending on the internal operation policy. · Additionally, you can match to a catalog (price comparison) even if the seller does not register a separate catalog! Caution. Please keep in mind that if you copy and register a new product, a new product number will be created, so data such as reviews and Q&A registered for the existing product will not be reflected.​ ​ ​ ​ Items that cannot be modified after product registration · Cannot be modified once the catalog has been matched · Cannot be modified after the sales price is registered as less than 10 won (Currently, registration is possible for a minimum of 10 won) · Category (if set by searching the catalog) · Naver If you are registered as a shopping price comparison product · If you want to change to a major category other than the one you registered · If you want to change from a category with restricted payment methods to a general category · If the category you want to change requires registration permission


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
Some of the optional/additional products are sold out. How do I handle ‘out of stock’?,"‘Out of stock’ processing while selling optional/additional products is possible through [Product Management > Product View/Edit]. Option/additional product out-of-stock handling method 1. Access the [Product Management > Product View/Edit] menu and click the ‘Edit’ button for the product that needs to be sold out in the product list. 2. In the option/additional product list, change the usage status on the right side of the item that needs to be sold out to 'N'. If it is a combination option, please change the inventory quantity to '0'. ※ reference. If an order for a product whose inventory quantity has been modified to 0 is canceled, the inventory quantity will be restored and changed to 'On Sale'. If you do not want the product (option) to be restored to stock, please change whether to use the specific option to 'N'. 3. Click the ‘Save’ button at the top. ※ reference. If you change the usage status to 'N', it will not be displayed in the option list on the product detail page.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I want the phrase ‘Savings/Coupon/Discount’ to be displayed under the shopping mall name in Naver Shopping search results.,"The phrase is displayed depending on whether 'reward points/coupon/discount' is applied to the seller's product. 'Account/Coupon/Discount' application criteria ① Accumulation: 1% purchase accumulation provided by Naver, and products for which a maximum of 150 won is applied when writing a review are exposed by default. (Excluding advertised products) ② Coupon: Among the coupons registered in the [Benefit Management > Benefit Registration] menu, if the coupon is applicable to the product, it will be displayed. (Excluding advertised products) ③ Discount: If you set an immediate discount price in the [Product Management > Product View/Edit] menu, the phrase ‘Discount’ will be displayed in Naver Shopping search results. Go to how to set up an instant discount》When you click the 'Purchase Information' button below the shopping mall name, detailed text about points, coupons, and discounts will be displayed.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
The manufacturer/brand name displayed on Naver Shopping is displayed differently from the information entered.,"If you change the manufacturer/brand information when registering a product, the manufacturer/brand information registered on Naver Shopping may be displayed in Naver Shopping search results instead of the manufacturer/brand name you registered directly.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
What are the delivery period (lead time) exposure standards on the product detail page?,"Because it is calculated based on the number of orders for which payment was completed between Monday two weeks ago and Sunday of the previous week, exposure may vary depending on the number of deliveries during the period. Delivery period for each product Exposure standards vary depending on the number of deliveries based on the 'product order number'.■ Delivery period data conditions · Calculation target: Number of normal orders with payment completed from Monday 2 weeks ago to Sunday of last week / Excluding cancellations · Delivery period: Time from payment completion date to delivery completion date (if there is no delivery completion date, based on purchase confirmation date) Number of business days / Claim Cases (returns/cancellations) excluded■ Delivery completion date calculation criteria · 1st priority: Courier delivery completion date · 2nd priority: System delivery completion date (if the 1st priority delivery completion value is not confirmed, 2nd priority is applied) · 3rd priority: Purchase confirmation date (1, 2nd priority: If the delivery completion time cannot be confirmed, 3rd priority applies) ■ Delivery period exposure criteria ① Delivery period of this product · If the number of payments for this product within the calculation period is 5 or more (including overseas delivery/order production/custom production) ② This store Delivery period · If the number of payments for this product within the calculation period is less than 5 and the number of payments for this store is more than 5 (including overseas shipping/customization/customization) ③ Delivery period not exposed · General product: Number of payments for this product within the calculation period Less than 5 and If the number of payments for this store is less than 5 · Overseas/custom-made product: If the number of payments for this product within the calculation period is less than 5 · Undelivered product · · Pre-ordered delivery product※ Refer to. · If the shipment is processed through direct delivery, quick service, or in-person pickup without a delivery completion value, it is counted based on the ‘purchase confirmation date’.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"Even if you change the product name, it will not be modified.","[Product Management > Product Registration] If you check 'Use product name for shopping window only' or 'Use product name for smart store only' in the 'Exposure channel' item at the bottom of the menu, the product name will be given priority in the exposure channel (smart store/shopping window) and Naver Shopping. It will be exposed. Therefore, if you want to be exposed with the product name listed at the top, please uncheck Use exclusive product name. ※ reference. You can also directly edit the ‘Smart Store Exclusive Product Name/Shopping Window Exclusive Product Name’ area in the product list grid area of ​​the [Product Management > Product Inquiry/Edit] menu.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I would like to change all products currently on sale to products that can be shipped today.,"You can edit it in the ‘Delivery Change’ item in the [Product Management > Product Inquiry/Edit] menu. How to batch change products departing today 1. Please search for the product you want to change in the [Product Management > Product Inquiry/Edit] menu. 2. Please select the product you want to change from the product list.3. In the product list, click [Change Delivery > Delivery Information]. 4. In the delivery properties, select Departure today and press the change button. !caution. When changing delivery information, you must click the 'gray' change button at the bottom right of the information that needs to be changed. Please note that when you click the 'green' change button at the bottom of the pop-up window, the entire shipping information will be changed at the same time. ※ Note If you select and change regular delivery in the delivery properties pop-up, it will be changed to regular delivery all together. · Products with no delivery cannot be collectively changed to regular delivery/departure today, so please change them individually in product modification.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I would like to view all products set to depart today.,"You can view it in the [Product Management > Product View/Edit] menu. View only products set to depart today1. Access the [Product Management > Product View/Edit] menu.2. Click ‘Advanced Search’ on the right. 3. When you select ‘Depart today’ as the delivery attribute and then search, only products set to depart today will be displayed.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I would like to batch change already registered products to custom-made products.,"As this is a custom-made product, settings cannot be modified in bulk. Please make individual changes in the [Product Management > Product View/Edit] menu.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
How can I distinguish between custom-made products?,"Go to the [Product Management > Product View/Edit] menu and select customized products in the grid.
Please check the area. Product information > Customized product is classified into Y/N depending on whether or not you check it.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
Are there any recommendations for quick image exposure when checking mobile detail pages?,"When registering a product, the mobile detail page image loading time varies depending on the PC environment, so we do not provide recommendations on image size, etc.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
How do I expose the delivery simulator on the product detail page?,"Delivery Simulator (Beta) is a delivery date prediction system that analyzes delivery data for the past 6 months and predicts and informs buyers of the date when they can receive delivery if they purchase this product now. We comprehensively analyze various data such as this product's delivery data, related data (delivery data of the same category, store delivery data, etc.), regional data (shipping address, delivery address, courier company, etc.), and delivery period data according to payment time, so that the same product Even so, the predicted value provided by the system may vary depending on the viewer and viewing time. Example) If the viewer's delivery area is different, the product viewing time is different, etc. ■ Exposure standards The number of completed payments in the last 6 months of the store must be 30 or more, and the following conditions must be satisfied. ① +1 day Products more than 95% predicted to arrive within (tomorrow)② Products more than 80% predicted to arrive within +2 days (the day after tomorrow)※ Note. · The delivery simulator is not exposed for delayed delivery and overseas delivery/order production/custom production/preferred date delivery/pre-purchase products. · Products predicted to arrive within +1 day (tomorrow) of 95% or higher will have a probability of arriving tomorrow, and products predicted to arrive within +2 days (the day after tomorrow) of 80% or more will have a probability of arriving the day after tomorrow. · More than 80% of delivery simulators are highlighted and exposed based on the fastest day. ■ Estimated daily arrival rate Based on address · 1st priority: Buyer's basic delivery address · 2nd priority: Based on Seoul and Gyeonggi (displayed based on Seoul and Gyeonggi when not logged in) ■ Location of exposure PC: Exposed at the top of product details Mobile: Delivery Exposure to information items■ Shipping simulator (Beta) Non-exposure criteria (delivery period exposure) ① Less than 30 data for the past 6 months ② Less than 80% expected to arrive within +2 days ③ Delayed shipment processing Order/Overseas delivery/Custom manufacturing/ For custom-made/preferred date delivery/pre-purchase products, please refer to the related help below for detailed exposure conditions of the delivery period. ※ Note. · For products departing today, the ‘today departure deadline’ is displayed in the delivery simulator (Beta). · The delivery simulator (Beta) is displayed at the top of the product details (PC standard), and the exposure and location cannot be changed directly. Related help: What are the delivery period exposure standards on the product detail page?》


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I would like to batch edit the shipping information for products being sold.,"You can edit it in the ‘Delivery Change’ item in the [Product Management > Product Inquiry/Edit] menu. How to change delivery information in bulk 1. Please search for the product you want to change in the [Product Management > Product Inquiry/Edit] menu. 2. Please select the product you want to change from the product list.3. In the product list, click Change Delivery > Delivery Information. 4. Select delivery in the delivery status, set the items that need to be modified, and then click the change button at the bottom right. ! caution. When you click the 'green' change button at the bottom of the delivery information change pop-up, the entire delivery information will be changed at the same time, so please click the 'gray' change button at the bottom right for each item that needs to be modified.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I want to change pre-ordered products in bulk.,"Bulk changes are not supported for pre-ordered products, and only individual registration and modification are possible. Please make changes individually in the [Product Management > Product View/Edit] menu. ※ Note. Once a pre-order order begins, the pre-purchase settings cannot be modified or changed to a regular product until the end of the order period.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Related Help/Keywords

Are there any conditions for registering a pre-order?



Close help"
Can I only view pre-ordered products?,"If you select 'Pre-purchase' as the product type for detailed search in the [Product Management > Product View/Edit] menu, you can view only pre-purchase products. If the product has been ordered, go to [Sales Management > Order Confirmation/Delivery. You can only view pre-orders by selecting ‘Pre-order’ in the [Management] menu. ※ Note. You can also check the pre-purchased product in the ‘Product Order Information Inquiry’ pop-up that appears after clicking the product order number. (Reservation purchase Y/N)


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
How do I batch edit (change) products?,"You can edit it in the ‘Batch change’ item in the [Product Management > Product View/Edit] menu. How to bulk edit (change) products 1. Please search for the product you want to change in the [Product Management > Product View/Edit] menu.2. Please select the product you want to change from the product list.3. Batch product changes (editing) are only possible for some of the items displayed at the top of the product list. ※ reference. · Batch product modification (change) is only possible for some items displayed at the top of the product list in the [Product Management > Product View/Edit] menu. └ Items that can be batch modified (changed) for products: sales change, display change, instant discount setting, sale price change, sale period change, delivery change, batch change · The items that can be modified at once through the “Batch Change” button are as follows. └ Event text, purchase/benefit, purchase quantity limit, product information provision notice, country of origin, after-sales service special information, brand/manufacturer, price comparison site setting, mobile preview creation, subscription setting · Other information (options, additional products) If you want to change information in batches (main product information, etc.), you can click 'Excel batch work' to download the modification form and re-upload the entered file. · Excel bulk edits can upload up to 500 items at a time. · Even if the brand name is not changed when batch editing Excel, the preset brand ID is deleted and reflected. (Catalog ID is not deleted) If you need to additionally register a brand ID, select the product in the [Product Management > Product View/Edit] menu. Individual registration is required for each. (Even if the brand ID is deleted, it will not affect shopping searches.)


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
What happens if I edit the discount on a product that has a live special discount applied?,"If you edit the discount information for a product that is currently applying a live special price, the price of the product will immediately change to the modified discount price. However, even if the price changes, the live special price badge and banner will continue to be displayed on the product details until the time the live special price is scheduled to end. If you want to stop exposing the live special price badge and banner, select ‘Do not set’ the live special price setting in Naver Shopping Live APP or Naver Smart Store Center APP and save.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Related Help/Keywords

[Live Special Price] How do I set up a live special price? (Online training provided)
[How to Live Shopping] How do I conduct a live broadcast? (Naver Smart Store Center APP) (Online education provided)
[How to Live Shopping] How do I conduct a live broadcast? (Naver Shopping Live Studio) (Online training provided)



Close help"
Why does the message ‘Check in advance to see if there are any products with live special prices’ displayed?,"This phrase is displayed by default even if there are no products that actually have a live special price set. When changing the instant discount in bulk, the prices of products with live special prices may also change, so please check before making any changes.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
Is it possible to change a product to discontinue sales/display?,"You can change the status within the [Product Management > Product Inquiry/Edit] menu and edit individually or in bulk.﻿How to edit individual products 1. Access the [Product Management > Product Inquiry/Edit] menu2. Please check the list at the top for products that are on sale or to be modified by searching.3. Check the square box, click ‘Change sale or change display’ and select ‘Stop sale or display’. 4. Please check the instructions in the ‘Batch change results’ pop-up. How to batch edit products 1. Please access the [Product Management > Product Inquiry/Edit] menu2. Please check the list of products that are on sale or need to be modified by searching by condition at the top.3. Check the box for all products to be modified, click ‘Change sales or change display’ and select ‘Stop selling or display’. ※ reference. · The [Product Management > Product Inquiry/Edit] page basically exposes products on sale that have been newly registered within the past 3 months first. If you need to check all products, please check 'Sales Status' as a whole and search. · If the product is on sale, purchase is not possible regardless of display status. · Products that have been changed to discontinued/discontinued are not exposed in the Smart Store, but may flow into the product page depending on the entry route. (In the case of shortcuts through favorites, etc.) · Discontinued/displayed products can be changed to ‘on sale or on display’ at any time through the ‘change sale or change display’ button. · If you wish to delete a product that has been discontinued/discontinued from display, please proceed through the ‘Delete Select’ button at the bottom of the product list. However, if there is an order in progress, deletion is not possible, so please delete it after the order is completed. · When registering a product, if you select the display status as 'display stopped' and save it, product registration will be completed without being exposed to the store. · After completing registration, the store URL will be activated only when one or more products are registered as on sale. After one or more store URL products are registered and the store returns to the normal state, even if all products are deleted or changed to a status of discontinuation of sale or display. The store's status does not change to normal (display).


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"There is a lot of product (option) in stock, but it has been changed to out of stock.","If the product is changed to out of stock due to out of stock, or if an order for the product is canceled due to the reason 'out of stock', it will be changed to out of stock. ※ Note. · Even for products that are out of stock, the stock quantity will be restored when the order is cancelled. If you do not want the product (option) to be restored to stock, please change the product status to 'Discontinued' or change the use of a specific option to 'N'. · If 'all options' with an option price of 0 won are out of stock, the product will be changed to 'out of stock' status even if the options with the option price applied are in stock. Example) Option A - option price 0 won / Option B - option price 0 won / Option C - option price -100 won / Option D - option price +100 won - - If only option A has 0 items in stock, only the registered option A will be sold out and the product Maintains ""On Sale"" - If both Option A and Option B have 0 items in stock, the product itself changes to 'Out of Stock' status even if there is stock in Option C and D.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
What is the basis for the 'total user rating' displayed on the product detail page?,"Buyers can rate their satisfaction with the product with a star rating (5/4/3/2/1) for 90 days after confirming the purchase.
Satisfaction scores for each product are calculated and the accumulated scores for all reviews of the product are exposed as the total user rating.※ Note. If a review is blinded, the score is recalculated because the review is excluded from the total user rating.
Total user rating calculation formula · Total number of reviews = Product review + one-month usage review · User rating sum = (Number of 5-point reviews * 5) + (Number of 4-point reviews * 4) + (Number of 3-point reviews * 3) + (2 points Number of reviews*2) + (Number of 1-point reviews*1) · Total user rating (product satisfaction) = Sum of user ratings / Total number of reviews ※ Note. On the product page, it is displayed rounded to two decimal places.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
‘Mobile Preview’ does not work. What should I do?,"It may take up to 1 day for the product to be reflected in the mobile preview after registering or modifying the product. If mobile preview does not work even after time has passed, please check the reason for the exception through the path below. How to check mobile preview exception reasons 1. Access from the [Product Management > Product View/Edit] menu. 2. Please check the reason by clicking ‘Check exception reason’ in the mobile preview creation date section of the product list.3. After modifying the displayed content, apply for [Batch change > Create mobile preview] and the preview will be created again. ※ reference. If it is possible to write directly (Smart Editor) or expose as the original, a preview will not be created.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
I deleted the product by mistake. Is it recoverable?,"If you would like to restore a deleted product (multiple products are the same), please contact the customer center through TalkTalk and we will assist you after confirmation. (TalkTalk consultation category: ‘Product> Product inquiry/edit> I deleted the product by mistake> Within 3 months. >Contact a counselor) ​ However, if 3 months (90 days) have passed since the date of deletion, recovery is not possible even at the customer center, so please understand.※ Please note. When a product is restored, reviews and product inquiries will also be restored.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"When you click on the product number found in the product inquiry/edit menu on your mobile phone, you will not be connected to the product page.","On mobile, even if you click the product number found in the [Product Management > Product View/Edit] menu, you will not be moved to the product page. (Basic specifications) Please note that page movement is only possible on a PC.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
How do I change a product whose sales period has ended to “on sale”?,"For products with a set sales period, the product will automatically change to a product that cannot be purchased (sale ends) when the period ends. If you can sell a product that has ended sales, even if it is already in the 'Not set' status, click the ""Edit"" button in the [Product Management > Product View/Edit] menu list to reset the sales period to ""Not set"" and save it.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Fulfillment] Can I change fulfillment information in bulk?,"You can change fulfillment settings and corresponding delivery information in batches in the [Product Management > Product Inquiry/Edit] menu. How to change delivery information in bulk​1. Please search for the product you want to change in the [Product Management > Product Inquiry/Edit] menu.2. Please select the product you want to change from the product list.3. In the product list, click ‘Change Delivery > Delivery Information’. 4. In the delivery properties, select ‘Naver Arrival Guaranteed’ and press the change button. ※ Note. Bulk changes are possible only if all products selected in the product list are from the same logistics company (or fulfillment is not set). · All items in the delivery information change pop-up window will be changed, so click ‘Change’ after checking the items. Please click the button.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Fulfillment] What is the fulfillment company in the product list?,"When fulfillment is set to ‘On’ in Naver Fulfillment through the [Product Management > Product Registration or Product Inquiry/Edit] menu, the corresponding logistics company name will be exposed. ※ Note. · Naver Fulfillment is an NFA logistics company. For sellers who have linked , we provide a function to enter the logistics company that entrusted the logistics of the product when registering/editing a product. (NFA logistics companies can be checked at [Logistics Management > NFA Service Application].) · Through this function, you can classify products/orders/inquiries, etc. by logistics company, whether they are products delivered directly by the seller or products for which logistics is being consigned. can.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Fulfillment] Can I only view products for which fulfillment is set?,"You can search products by clicking the [Detailed Search] button in the search conditions area in the [Product Management > Product Search/Edit] menu and then selecting the search condition 'Fulfillment'. In the fulfillment filter, only logistics companies for which logistics contract linkage has been completed are shown, and you can search for fulfillment products for which each logistics company has been set. When searching for fulfillment as 'not set', only products for which fulfillment has not been set can be viewed. Also, , [Logistics Management > Fulfillment Operations] In the fulfillment product search menu, you can only view products registered as fulfillment ‘set’.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Fulfillment] Can’t I edit the option management code for fulfillment products?,"Naver Fulfillment products are linked with logistics companies and inventory/order data. Single products without options are linked based on the product number, and option products are linked based on the option management code. Therefore, the standard for inventory linking of optional products is The option management code cannot be modified. If it is unavoidable to modify the management code, please refer to the two methods below. How to handle when modification of the option management code is necessary 1) Delete the option that requires modification and add a new option to the management code. Enter. 2) Change the Naver fulfillment setting to ‘Not set’, edit the option management code, and save. Afterwards, change the fulfillment setting to 'On' on the product modification page again and save it. Caution. · If you delete the option for a subscription product, payment may fail, so please use method 2) to modify it. · After modifying the option management code using method 2), unless you change the fulfillment setting back to ‘On’, the logistics company will not be able to confirm the order for the product. Be sure to reset fulfillment to avoid missing shipments! · If you modify all standard information in the logistics company system as well as the smart store, make sure that no purchases occur until the information modified in the logistics company system is reflected in the smart store. Before modifying the option management code using the above processing method, please change the Smart Store product status to ‘Discontinued’ and edit it. (Change to discontinue product sale → Modify smart store option management code → Wait for the reflection time → Change to product on sale) · The time for the information modified in the logistics company system to be reflected varies depending on the logistics company, so please contact the logistics company you are using. .


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
[Fulfillment] We link the API with the logistics company by entering the management code in the option list of the product for which fulfillment is set. Can’t you easily enter the option management code?,"For products for which you are registering a new option management code, please register the product first. If you register the option through product modification in the [Product Management > Product View/Edit] menu, [Apply as option list] based on the generated product number. In the process, the management code is automatically assigned to 'Product Number_Number'. For products with an optional management code entered, if the fulfillment is set to 'On', the management code cannot be changed. If modification is necessary, there are two options below. Please change the method using the most convenient method. 1) Delete and save the option, then go back to the product modification screen and add a new option and enter the management code. 2) Set the fulfillment to 'Not set' and manage it. Change the code and save it, then change the fulfillment back to ‘On’ by editing the product.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
What are the criteria for coupons displayed in the maximum discount price list?,"The maximum discount price exposure standard is displayed based on the largest discount among all coupons, excluding coupons that cannot be used simultaneously. Example) Receive notification, if all customer coupons are registered as 'product discount discount' coupons, two Coupons cannot be used simultaneously, so only one coupon that provides the greatest discount is displayed.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"Product details were automatically converted to HTML, why?","In the case of hosting companies, registration/editing of detailed descriptions through API agencies is supported only in HTML. If modifications are made through the hosting company API rather than through the Smart Store Center, the contents written in the existing Smart Editor are automatically converted to HTML. .Please contact the hosting company for further inquiries regarding product detail modification exclusions.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
The registered video image is not displayed in mobile preview. Why is that so?,"In the case of mobile preview, the screen is captured and displayed, so moving gif images and videos are not displayed. Also, please note that it is not displayed as the first screen capture image.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
Categories registered as digital/home appliances cannot be registered/edited as there is no delivery.,"Due to the nature of the product, there is a high proportion of direct installation, and if registered as 'no delivery', it may cause confusion to the buyer, so registration/editing as 'no delivery' type is not possible. Installation, product code: For electronic delivery products, please register/modify the delivery method by selecting 'direct delivery (cargo delivery)', and for other products, 'courier, registered, parcel'.! caution. If registered as 'no delivery', the delivery status must be changed to 'delivery' by April 23, 2022. If the change is not made, sales may be prohibited. ☞ Digital/Home Appliances Category Delivery > No delivery, no registration/modification possible, see notice


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"Is there any problem with holding an event (marketing, etc.) that may generate a lot of traffic?","Currently, if traffic increases in the Smart Store, the department in charge is responding with a monitoring alarm, so it can proceed without problems. However, please note that if the traffic for the same product is maximum, you will be directed to some summary pages.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"When batch editing (changing) products, ‘An error occurred during operation.’ The message will be displayed.","If the message 'An error occurred during processing' is displayed when batch editing Excel products, this message appears when the workload increases rapidly in a short period of time. In this case, please re-upload after a certain period of time (5 to 10 minutes).


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
"I'm trying to delete a product, but the process doesn't work. Why is that so?","If the order for the product is in progress (waiting for payment/delivery, etc.) or a claim is in progress (cancellation/return/exchange/purchase confirmation pending), you cannot proceed with deleting the product. You must delete it after all orders have been completed. If you wish to keep the product from being displayed before deletion, proceed to suspend sales or display in the [Product Management > Product Inquiry/Edit] menu. ※ reference. Please note that products that are prohibited from being sold cannot be deleted.


Was the above article helpful?


1 star rating

2 stars

3 stars

4 stars

5 stars



Please leave your valuable feedback and we will do our best to improve it.

Send



Close help"
